codigo_dane,miunicipio,lat,lon
68276014,VALLE DE RUITOQUE,7.036790,-73.119915
68276016,VILLAS DE GUADALQUIVIR,7.064910,-73.069090
68276018,ALTOS DE ORIENTE,7.052342,-73.071259
68276019,BELLAVISTA,7.107683,-73.083146
68276020,KM 14,7.117604,-73.074824
68276021,LA CIDRA,7.050210,-73.077836
68276022,TRINITARIOS,7.044139,-73.111353
68276023,CALATRAVA,7.041236,-73.072192
68296000,GALÁN,6.638423,-73.287769
68298000,GÁMBITA,5.945998,-73.344185
68298002,LA PALMA,5.867266,-73.384892
68307000,GIRÓN,7.070432,-73.166832
68307002,BOCAS,7.213519,-73.159693
68307003,MARTA,7.113951,-73.422585
68307007,ACAPULCO,7.009645,-73.132462
68307011,BARBOSA,7.037938,-73.155972
68307018,CHOCOITA,6.986394,-73.167670
68307020,EL LAGUITO,7.048956,-73.158641
68307021,PUEBLITO VIEJO,7.073266,-73.150556
68307022,RÍO DE ORO,7.146985,-73.154892
68307023,LLANADAS,7.044284,-73.152709
68307024,VIENTOS DE LLANADA,7.038372,-73.165020
68318000,GUACA,6.876563,-72.856322
68318001,BARAYA,6.979520,-72.816108
68320000,GUADALUPE,6.245847,-73.419292
68320005,EL TIRANO,6.217075,-73.402892
68322000,GUAPOTÁ,6.308635,-73.320732
68324000,GUAVATÁ,5.954348,-73.700906
68327000,GÜEPSA,6.025013,-73.575146
68344000,HATO,6.543957,-73.308399
68368000,JESÚS MARÍA,5.876497,-73.783396
68370000,JORDÁN SUBE,6.732727,-73.096053
68377000,LA BELLEZA,5.859250,-73.965494
68377001,LA QUITAZ,5.934529,-74.011636
68377003,EL RUBÍ,5.890461,-74.057025
68377005,LOS VALLES,5.902779,-74.076048
68385000,LANDÁZURI,6.218812,-73.811359
68385001,BAJO JORDÁN,6.215625,-73.750669
68385005,PLAN DE ARMAS,6.374568,-73.752436
68385006,SAN IGNACIO DEL OPÓN,6.411263,-73.685311
68385007,MIRALINDO,6.317858,-73.753060
68385008,KILÓMETRO 15,6.256672,-73.863055
68385009,LA INDIA,6.195540,-74.087034
68385014,RÍO BLANCO,6.467666,-73.788956
68397000,LA PAZ,6.178509,-73.589590
68397001,EL HATO,6.113466,-73.590862
68397002,LA LOMA,6.132048,-73.606385
68397005,TROCHAL,6.329828,-73.678478
68406000,LEBRIJA,7.113351,-73.219524
68406003,EL CONCHAL,7.282340,-73.262652
68406009,PORTUGAL,7.157114,-73.281332
68406013,URIBE URIBE,7.248453,-73.360425
68406014,VANEGAS,7.351652,-73.298248
68406026,CONDOMINIO VILLAS DE PALO NEGRO,7.140637,-73.186135
68418000,LOS SANTOS,6.755203,-73.102739
68418006,MAJADAL ALTO,6.848713,-73.084578
68425000,MACARAVITA,6.506580,-72.593105
68425003,LA BRICHA,6.513173,-72.556130
68432000,MÁLAGA,6.703081,-72.732089
68432009,ASODEMA,6.703121,-72.739990
68444000,MATANZA,7.323175,-73.015566
68444006,SANTA CRUZ DE LA COLINA,7.371744,-73.094573
68464000,MOGOTES,6.475246,-72.969807
68464002,PITIGUAO,6.587121,-72.964112
68464016,LOS CAUCHOS,6.581837,-72.908072
68468000,MOLAGAVITA,6.674320,-72.809175
68468002,EL JUNCO,6.639378,-72.801677
68498000,OCAMONTE,6.339988,-73.122563
68500000,OIBA,6.265210,-73.299791
68500006,PUENTE LLANO,6.180536,-73.331844
68502000,ONZAGA,6.344104,-72.816766
68502001,PADUA,6.469740,-72.772073
68502002,SUSA,6.197150,-72.832639
68502004,EL CARMEN,6.487694,-72.799097
68522000,PALMAR,6.537789,-73.291090
68524000,PALMAS DEL SOCORRO,6.406139,-73.287764
68533000,PÁRAMO,6.416811,-73.170220
68547000,PIEDECUESTA,6.997245,-73.054795
68547003,SEVILLA,7.015813,-72.996838
68547007,UMPALÁ,6.845022,-72.977209
68547008,PESCADERO,6.825812,-72.999814
68547010,LA COLINA,7.017372,-73.096670
68547011,LOS CUROS,6.918461,-73.007364
68547016,CONDOMINIO RUITOQUE COUNTRY CLUB,7.023063,-73.085280
68547017,LA ESPERANZA,7.013156,-73.113026
68547018,BUENOS AIRES MESA RUITOQUE,7.007936,-73.105959
68547019,LA VEGA,6.995783,-73.083171
68547020,LA DIVA,6.990802,-73.083125
68547021,ALTAMIRA,6.904670,-73.026582
68547022,CAMPO CAMPIÑA,6.880890,-73.018305
68547023,CIUDAD TEYUNA,6.953697,-73.038984
68547024,EDÉN,6.997611,-73.079474
68547025,MIRADOR DEL LAGO,6.854937,-73.030516
68547026,NUEVA COLOMBIA,6.993873,-73.087591
68547028,PARAMITO,6.955243,-73.031114
68549000,PINCHOTE,6.531552,-73.174209
68549003,BARRIO PORTAL DEL CONDE,6.551328,-73.155374
68572000,PUENTE NACIONAL,5.878381,-73.677567
68572002,CAPILLA,5.864369,-73.658052
68572003,PROVIDENCIA,5.827403,-73.662328
68572004,QUEBRADA NEGRA,5.803200,-73.659811
68572012,PEÑA BLANCA,5.743742,-73.657522
68573000,PUERTO PARRA,6.650785,-74.056129
68573001,CAMPO CAPOTE,6.619381,-73.918496
68573002,LAS MONTOYAS,6.755056,-74.034927
68573003,BOCAS DE CARARE O CARARE VIEJO,6.780686,-74.099955
68573005,EL CRUCE,6.647769,-73.950406
68575000,PUERTO WILCHES,7.344057,-73.899909
68575001,BADILLO,7.974710,-73.854379
68575003,BOCAS ROSARIO,7.738034,-73.797247
68575004,CARPINTERO,8.078683,-73.842675
68575005,CHINGALE,7.685274,-73.802229
68575006,EL GUAYABO,7.947726,-73.834184
68575007,EL PEDRAL,7.227041,-73.845322
68575011,KILOMETRO 20 - COMUNEROS,7.325011,-73.736069
68575013,PATURIA,7.586037,-73.825403
68575014,PRADILLA,7.348872,-73.680481
68575015,PUENTE SOGAMOSO,7.246473,-73.785940
68575018,VIJAGUAL,7.850508,-73.816002
68575019,PUERTO CAYUMBA,7.249498,-73.679650
68575022,SITIO NUEVO,7.785290,-73.801148
68575023,KILÓMETRO OCHO,7.328437,-73.839879
68575024,SAN CLAVER,7.325067,-73.776502
68575025,GARCÍA CADENA,7.311757,-73.793038
68575026,CAMPO ALEGRE,7.624571,-73.804981
68575027,CAMPO DURO,7.420764,-73.778345
68575028,CURUMITA,7.464049,-73.905292
68575029,SANTA TERESA,7.412971,-73.888546
68575030,TALADRO II,7.283447,-73.698202
68575031,LA INDEPENDENCIA,7.322540,-73.883270
68615000,RIONEGRO,7.265014,-73.150177
68615002,CUESTA RICA,7.406620,-73.275755
68615009,LA CEIBA,7.412184,-73.185584
68615011,LLANO DE PALMAS,7.237846,-73.197975
68615012,MISIJUAY,7.399376,-73.135965
68615013,PAPAYAL,7.611605,-73.639989
68615017,VEINTE DE JULIO,7.646649,-73.528654
68615027,LOS CHORROS (SAN JOSÉ),7.694662,-73.758808
68615031,SAN RAFAEL,7.607649,-73.576300
68615036,EL BAMBÚ,7.377544,-73.178340
68655000,SABANA DE TORRES,7.391919,-73.499060
68655001,LA GÓMEZ,7.389284,-73.551444
68655002,SABANETA,7.351186,-73.646342
68655004,PROVINCIA,7.415128,-73.441872
68655006,VERACRUZ KILÓMETRO 80,7.490016,-73.676326
68655007,SAN LUIS DE MAGARA,7.595465,-73.680199
68655008,PAYOA CINCO,7.269878,-73.490589
68655009,PUERTO SANTOS,7.394140,-73.398572
68655011,CERRITO,7.496821,-73.771395
68655013,KILÓMETRO 36,7.361885,-73.605415
68655014,LA PAMPA,7.327198,-73.548762
68655015,SAN LUIS DE RIO SUCIO,7.169428,-73.555569
68669000,SAN ANDRÉS,6.811511,-72.848864
68669005,LAGUNA DE ORTICES,6.702486,-72.874401
68669007,PANGOTE,6.768723,-72.784525
68673000,SAN BENITO,6.126656,-73.509070
68673003,SAN BENITO NUEVO,6.119263,-73.494591
68673004,LA CARRERA,6.087484,-73.535960
68673005,LAS CASITAS,6.080241,-73.545418
68679000,SAN GIL,6.551952,-73.134776
68682000,SAN JOAQUÍN,6.427548,-72.867638
68682001,RICAURTE,6.550980,-72.831428
68684000,SAN JOSÉ DE MIRANDA,6.658995,-72.733616
68684009,VILLA JARDÍN,6.688712,-72.731954
68686000,SAN MIGUEL,6.575315,-72.644123
68689000,SAN VICENTE DE CHUCURÍ,6.880383,-73.411024
68689001,ALBANIA,6.909173,-73.628677
68689012,YARIMA,6.830828,-73.712482
68689028,LAS ACACIAS,7.118874,-73.551789
68705000,SANTA BÁRBARA,6.990996,-72.907445
68720000,SANTA HELENA DEL OPÓN,6.339565,-73.616716
68720001,LA ARAGUA,6.467141,-73.647298
68720002,CACHIPAY,6.298005,-73.649623
68720004,PLAN DE ALVAREZ,6.454015,-73.539767
68720005,SAN JUAN BOSCO DE LA VERDE,6.523322,-73.625942
68745000,SIMACOTA,6.443469,-73.337368
68745006,LA LLANITA,6.419192,-73.341073
68745009,LA ROCHELA,6.739537,-73.878070
68745011,EL GUAMO,6.549480,-73.703837
68745012,PUERTO NUEVO,6.728838,-73.868770
68755000,SOCORRO,6.463870,-73.261198
68755002,BERLÍN,6.500334,-73.238026
68770000,SUAITA,6.101329,-73.441650
68770001,OLIVAL,6.152226,-73.339376
68770002,SAN JOSÉ DE SUAITA,6.158489,-73.448411
68770003,VADO REAL,6.068760,-73.412844
68770008,TOLOTÁ,6.120728,-73.366275
68773000,SUCRE,5.918743,-73.790975
68773001,LA GRANJA,5.925902,-73.920080
68773002,LA PRADERA,5.868199,-73.907833
68773003,SABANA GRANDE,5.990481,-73.912728
68773014,SAN ISIDRO,5.959471,-73.919116
68773015,EL LÍBANO,5.940032,-73.955411
68780000,SURATÁ,7.366580,-72.984232
68780001,CACHIRÍ,7.469438,-72.989839
68780008,TURBAY,7.514383,-73.045893
68820000,TONA,7.201417,-72.967023
68820001,BERLÍN,7.186250,-72.878203
68820002,LA CORCOVA,7.140831,-73.022945
68820007,VILLAVERDE,7.171937,-73.022181
68855000,VALLE DE SAN JOSÉ,6.448028,-73.143507
68861000,VÉLEZ,6.009275,-73.672447
68861001,ALTO JORDÁN,6.205301,-73.749086
68861002,GUALILO,6.183760,-73.717369
68861017,EL LIMÓN,5.993135,-73.664288
68861022,LOMALTA,6.020844,-73.644034
68861024,LOS GUAYABOS,5.981297,-73.660668
68861025,LA VICINIA,6.086306,-73.712911
68861026,PEÑA BLANCA,5.977936,-73.653084
68867000,VETAS,7.309810,-72.871041
68872000,VILLANUEVA,6.670078,-73.174307
68895000,ZAPATOCA,6.814387,-73.268034
68895001,LA FUENTE,6.706914,-73.280988
